RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2724,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2363,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3042,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
5417,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2887,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
3372,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2221,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2697,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
2318,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
1973,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e77469a08484c2b1b7ceb08,"06/14/2022, 06:08:16"
