RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
7869,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3730,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2872,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3133,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4096,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3064,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5251,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3411,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
5760,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4125,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3702,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4052,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3862,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2893,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
