RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3170,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3872,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3715,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5994,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5871,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6411,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
5748,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
9272,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
3589,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6123,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
