RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4048,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2769,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1951,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2360,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2982,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
7176,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2667,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3688,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
6010,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4391,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2920,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2603,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
9409,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4576,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
14685,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4327,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2227,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3878,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2185,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4303,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3154,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
8889,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3405,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
7929,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3063,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2213,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3261,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2905,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
6704,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2159,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2238,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2663,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3335,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2665,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2974,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3450,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2414,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3464,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
6425,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
36295,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1434,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4707,P_michaeli.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2046,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3446,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3092,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2572,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2390,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
11092,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4366,P_liberman.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1761,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2800,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2247,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2269,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2792,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
6460,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
12920,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3326,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3585,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4074,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3992,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
6913,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3822,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3399,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
5553,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2473,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3513,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2180,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1887,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3543,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1992,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2624,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1770,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2414,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3571,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1823,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2431,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3350,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3528,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3230,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2218,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2567,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3748,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2288,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
22061,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2103,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2212,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2173,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2166,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1634,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2860,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3154,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
7950,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2691,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3214,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3644,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3689,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1977,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2503,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3906,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
7794,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
9176,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
6274,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3997,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2074,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
1863,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
4855,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
3353,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
2719,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,607fc87d80f8b65f2a85b77b,"06/13/2022, 07:45:55"
