RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
9816,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3880,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3469,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4106,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5163,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6930,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6187,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6747,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
7752,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5443,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2493,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4121,E_ornaBanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
9552,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
13235,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3602,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
11382,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3793,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4961,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4709,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2879,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
8398,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3522,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
6501,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3155,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
4338,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
3880,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
9524,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
5035,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
2635,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5c2baf76ee08ca0001599a95,"08/14/2022, 09:39:37"
