RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2205,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1691,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1933,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
4279,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1968,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1918,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1528,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2190,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2116,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2236,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2476,E_ivri.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2607,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2480,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3809,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1886,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2201,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1848,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2052,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2377,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1691,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2633,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2972,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1942,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2539,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2380,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1959,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3105,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2096,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
4554,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3185,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2219,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2207,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2440,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2163,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2971,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1807,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1638,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2097,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1954,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2685,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1850,E_ivri.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
5066,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2527,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2467,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1542,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2684,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2903,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2550,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2704,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1842,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2055,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3503,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1987,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1505,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2112,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2713,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2474,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1545,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1584,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1783,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2030,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1042,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1985,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1418,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1349,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2037,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2007,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2720,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2587,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2672,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2277,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1619,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2047,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2692,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3634,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1764,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1240,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3021,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2815,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2143,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2669,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1919,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
4195,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2561,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2239,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2584,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2066,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1690,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2717,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1725,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1927,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1608,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1860,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2354,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2028,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2380,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1989,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1605,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1990,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2197,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2103,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1658,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
3737,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
2285,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
1793,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e1b8ad2eae6663b8f4a9f0d,"06/13/2022, 17:06:00"
