RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2198,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1648,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3843,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2150,P_shaked.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2080,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3057,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2137,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2325,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3285,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2276,E_katorza.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
3681,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2207,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2207,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
8664,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2779,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
4250,E_moniMo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
16259,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1654,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
7571,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2023,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2188,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
5310,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2220,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2952,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1656,E_alfi.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1922,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1814,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2542,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
5047,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2218,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2861,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2810,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1706,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2959,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1796,E_katorza.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2692,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1750,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1957,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1997,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2084,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1996,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1978,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
2471,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
1547,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
file,isFamiliar,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_ornaBanai.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_shaharHasson.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_rita.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
E_shaniCo.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_liberman.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
P_michaeli.jpg,1,5ed539ff129cb40aacbbce90,"06/13/2022, 09:02:06"
