RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2936,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3601,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4465,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2351,E_rita.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2238,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2495,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2024,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2048,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2802,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2891,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
1851,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2528,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3459,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2771,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2308,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
4199,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3649,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
7539,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3653,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
2110,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
3664,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
6509,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba72b83109906e0316581f,"08/14/2022, 11:44:56"
