RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3939,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4221,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5881,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4260,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4176,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6986,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9652,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6911,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3051,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3696,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4842,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4010,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3631,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7541,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3200,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3561,E_tavori.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4031,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4821,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3731,E_shaharHasson.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7446,P_liberman.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7331,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6760,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7707,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3139,E_moniMo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3670,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3369,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5142,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4201,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3399,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3400,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3250,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
2992,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4701,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7101,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5480,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9442,E_harLev.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8221,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3690,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4291,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3810,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6082,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7422,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8271,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
15661,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4011,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7982,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
22372,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6030,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5391,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7512,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
16421,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4825,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5000,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3750,E_rita.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6382,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7647,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
13450,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
16486,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4820,E_katorza.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9100,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3647,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5821,P_lapid.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
10130,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3340,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5811,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3721,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5051,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4081,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4390,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
2931,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6071,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4160,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4792,E_rita.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6422,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8450,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5371,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4201,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5929,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3201,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9187,E_ivri.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6272,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8166,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4230,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5687,E_harLev.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4461,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4483,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3061,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3431,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9771,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5635,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
2695,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
2822,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4562,E_ivri.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6711,E_alfi.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3524,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4131,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4382,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5051,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4941,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3586,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5752,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8882,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8930,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
7951,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3711,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
9700,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
14877,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,2,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3100,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4344,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5101,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4890,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8540,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
3283,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
2881,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
5629,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
10896,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
4729,E_alfi.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
6191,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
8112,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5f8370c6e0804f4fb492bcdc,"06/13/2022, 14:49:42"
