RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2255,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1946,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2556,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2286,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2721,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2208,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
4155,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2349,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1981,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2871,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
3246,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2992,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2685,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1975,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1436,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1058,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2480,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1537,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2224,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1762,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2161,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2018,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1201,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1548,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1681,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1672,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1621,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2301,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1788,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2642,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
6351,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1691,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2234,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
1626,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
2284,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fbabe8f3bdaedb1377b0068,"08/07/2022, 07:04:50"
