RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3130,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4766,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2813,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2063,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2130,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2447,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2546,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3364,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3149,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
5530,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
5413,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2399,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1997,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2179,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3495,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2228,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2430,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2179,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1981,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
4230,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2411,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2330,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2481,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3848,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2380,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2363,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2730,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2194,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2263,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2978,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2080,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2031,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2280,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1797,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1681,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2947,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2627,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2549,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1964,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1946,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3080,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2980,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2065,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2713,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2249,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
9728,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2495,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3814,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2294,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1963,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1713,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1680,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2265,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
3630,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2679,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
2048,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
1846,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60cf09807c3dacc3d12bd9ac,"08/07/2022, 10:09:57"
