RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1445,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3359,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1543,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3878,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
4182,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2790,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2017,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3870,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1828,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1783,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1591,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2942,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1414,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2239,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1626,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1998,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1285,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1758,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1272,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2665,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1607,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2895,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
7046,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1407,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1867,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2236,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2732,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1319,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1915,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3767,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1707,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2256,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1849,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3232,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3119,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2592,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
4479,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3583,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3976,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2182,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2478,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2143,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1715,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1822,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1622,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1279,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1687,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1311,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
5087,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1669,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
4479,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
4583,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2055,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1255,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1470,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1230,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1527,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3332,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1543,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1579,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1679,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1519,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1810,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2015,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2226,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2060,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1449,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1908,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1191,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1631,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1991,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2374,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1933,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1571,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1591,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1318,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1399,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1727,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1518,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1694,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3389,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2169,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1270,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1710,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1608,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1332,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1851,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3005,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2719,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3279,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1318,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2039,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2493,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1233,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1488,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3470,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1296,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1563,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1800,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2221,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2471,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1600,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2501,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2919,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1598,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1246,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1161,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1588,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1175,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1793,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1734,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
2743,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1383,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
1740,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
3329,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,612d1ec60f4f490c284effc0,"06/28/2022, 08:18:23"
