RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2961,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1744,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1638,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2660,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1273,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2476,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3662,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5802,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2218,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3488,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3102,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3289,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2666,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3566,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1669,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1787,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3385,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3666,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2232,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
4113,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
22810,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1754,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2332,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1968,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3894,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
1524,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2922,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2288,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
6342,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2206,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3552,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
3183,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2787,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2825,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
5414,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
2299,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3374ba221fad0001cc47aa,"06/27/2022, 07:13:32"
