RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5783,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
7702,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3924,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2210,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2124,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4811,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2536,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4919,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3190,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
8434,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
16607,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2202,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2215,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3010,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3535,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
10249,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1784,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2248,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5085,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1731,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6321,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1477,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2772,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1929,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1310,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1507,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1657,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6833,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2126,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2628,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4090,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5332,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2817,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1560,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1349,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6037,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1761,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1664,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1639,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4406,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4242,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1876,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4172,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2306,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4993,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6531,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2387,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5470,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2434,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1842,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1575,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2179,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
11708,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3306,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3560,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2066,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2409,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2728,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2493,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1876,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2257,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
3177,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2706,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2101,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
6990,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
4075,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2283,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2598,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
7148,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5163,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
7185,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
5217,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2154,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1519,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1748,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1715,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1583,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2469,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
2385,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1662,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1181,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1142,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1482,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
1455,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c460444c173f7000187ad06,"08/06/2022, 16:49:10"
