RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2483,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3714,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2030,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4129,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2781,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
5838,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
12092,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3188,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1853,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4825,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
24946,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2636,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3655,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
5081,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
1890,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
3142,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
2587,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
4275,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e71251844916803d47123f3,"06/26/2022, 10:36:27"
