RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3891,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3422,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5858,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3221,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2511,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2677,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6221,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3994,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3929,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2797,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2615,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2890,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2707,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3218,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3357,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2821,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2928,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3047,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2602,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2518,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4171,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3714,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5434,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6557,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5513,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3017,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2868,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
7830,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3256,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4729,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3245,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3359,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
7144,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5381,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3160,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4858,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5080,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3539,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4908,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
10595,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4361,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3533,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2586,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3119,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4964,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5556,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5514,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2792,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3328,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2770,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3799,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2908,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
7611,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5569,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4850,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2858,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2892,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2758,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3427,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2926,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3427,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2927,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3892,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2850,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3366,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4702,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4719,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3080,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2984,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3828,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4848,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4623,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2940,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4070,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5136,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3614,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4436,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3854,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4261,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3759,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5753,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3650,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2870,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
2549,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4612,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4926,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5895,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3752,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3626,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3595,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3512,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
9266,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
5892,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3245,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3315,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4340,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3356,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3854,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3358,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4230,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6430,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4782,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3003,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
4198,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
6130,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
8858,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3239,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3442,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3910,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
3500,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60c320a732e2f56d954a6a40,"06/24/2022, 19:57:41"
