RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2597,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2116,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3614,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1749,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2277,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1509,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1331,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3176,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1301,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1765,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1715,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2485,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1116,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2727,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3665,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2038,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2886,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1453,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1115,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2680,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2212,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2100,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2225,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3863,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
3615,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2100,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2119,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
