RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2253,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2216,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2709,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3047,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1870,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3108,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2934,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3959,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2374,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2432,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1996,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1728,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2309,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3367,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1781,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2632,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3376,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2580,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2181,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2872,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3080,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
4439,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
5074,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2288,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
1901,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3290,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2966,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
2199,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
3335,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5e722a25f65f1b1586a811db,"06/24/2022, 10:12:13"
