RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4223,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4564,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5228,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3619,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3457,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5567,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2450,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2595,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2862,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3878,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3781,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4116,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
6946,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
4995,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2643,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2410,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3044,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5933,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
2246,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5885,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
3285,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
5050,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f086830eaaa950643744db4,"06/28/2022, 20:05:49"
