RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2753,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
7741,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2672,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2695,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3139,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2307,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1948,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1849,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3934,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4321,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3729,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2276,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
5280,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
5603,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4009,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1746,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3115,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3982,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2065,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
6009,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2330,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2904,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1944,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1874,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1527,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1992,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2202,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1762,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2531,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4072,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1893,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2160,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1748,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2092,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4420,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2121,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2646,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2224,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2494,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3436,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2210,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2800,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2132,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4438,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1938,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4368,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1757,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2695,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1562,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2654,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3175,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1950,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
5378,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2630,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
3117,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1715,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
4633,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2000,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1923,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1726,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
2185,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1658,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
1571,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7dd5381dd1c4000bd79104,"06/26/2022, 04:14:35"
