RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1553,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1551,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1916,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1371,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1551,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1456,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1207,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3187,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
5292,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1336,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2122,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1889,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3106,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2733,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1570,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1940,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2169,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1328,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3549,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2186,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1649,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
7448,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3334,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1787,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2061,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3443,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1689,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2014,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1589,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2051,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1508,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3373,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3424,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1924,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3371,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1516,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2616,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2179,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3516,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1318,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1617,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2159,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1964,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1201,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1309,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
3732,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1764,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1402,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1788,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2270,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1196,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
4730,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
1990,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
5525,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2154,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
2507,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef4d1dfe8792f0d4ba8c8b7,"06/23/2022, 09:15:45"
