RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
1355,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3167,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3507,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2184,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3906,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3597,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2862,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
2400,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3057,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
3606,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1aed4331d8d93320bc6d4e,"06/28/2022, 15:36:33"
