RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2843,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3092,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
6163,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3170,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4137,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5619,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
9504,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3597,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
7906,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3727,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3417,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3568,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3579,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3228,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
7546,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3097,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5083,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4184,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
6741,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4176,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3262,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3599,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3723,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4758,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4085,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4303,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3629,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4813,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3037,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2481,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3878,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
6440,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3140,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4990,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4652,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4308,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5734,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3406,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4918,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2483,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2957,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4571,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2995,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3220,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4025,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5197,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2515,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5124,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3429,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4250,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3109,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
6349,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5305,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2664,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3254,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2836,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3436,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3698,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4209,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2947,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5938,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3159,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3277,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3004,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2992,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4307,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2744,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3524,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2337,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2012,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
11226,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2942,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3974,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4023,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3650,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2716,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4848,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5539,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2863,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3181,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3256,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4085,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2705,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4133,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3572,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2290,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3799,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2625,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2990,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2113,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2028,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
9062,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3448,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4193,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3243,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3511,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3174,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3959,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4381,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3017,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5563,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3036,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3159,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3177,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
5934,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3646,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
4214,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3728,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3443,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2853,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3779,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3723,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3359,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3300,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2874,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3379,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2970,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3529,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3703,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
3290,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
6360,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
2717,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f84ca1ebf06bb192c78bfb1,"06/26/2022, 07:21:08"
