RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1685,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1382,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
6376,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1679,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1931,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2016,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1616,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3814,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3432,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2516,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4851,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2532,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3464,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2131,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2349,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3884,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1582,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2482,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2449,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2997,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2196,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3132,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1533,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3283,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1997,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2215,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2167,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2429,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2097,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2763,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2446,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3299,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2229,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
5099,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4130,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3751,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2097,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2849,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2979,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2728,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2182,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
5532,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
5149,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1964,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4434,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3132,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2395,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1692,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3715,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3047,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3749,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2848,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2246,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3949,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1753,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2040,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1945,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2433,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2547,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2650,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3098,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3248,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3599,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2515,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3161,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4234,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4298,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4295,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2379,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2180,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2027,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2901,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2931,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2481,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2149,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1947,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2916,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2166,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4212,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3400,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3404,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2691,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1399,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2316,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1863,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2065,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2900,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2681,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2100,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2309,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3450,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1833,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3150,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
2649,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1693,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
1615,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
3200,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
4698,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5c7bae4ff9b9540015695df5,"06/26/2022, 07:57:32"
