RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2688,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4801,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2477,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2003,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2027,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2300,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3011,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4124,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3753,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1962,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
5662,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2950,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1877,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2128,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4446,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1798,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2253,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2350,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2036,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1909,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1799,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3358,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2226,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3690,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2741,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
5159,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2042,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2064,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
7836,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2089,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2656,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1955,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2899,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4443,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2039,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1907,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2098,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2713,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
4292,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1942,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2841,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2059,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
2779,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
3661,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
1928,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fcb61f36829ff0e3cdae353,"06/29/2022, 14:27:07"
