RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1805,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1595,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2241,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1670,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2275,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1701,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3721,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1994,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2416,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
1972,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2002,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2154,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2916,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2125,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
3244,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2187,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
2429,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60082867cb3cd93a37f2e649,"06/27/2022, 11:56:36"
