"pair","img_1","img_2","keyPressed"
"E_F_jennifer_aniston.jpg E_M_tom_hankes.jpg","E_F_jennifer_aniston.jpg","E_M_tom_hankes.jpg",0.2607
"E_F_jennifer_aniston.jpg P_F_tehresy_may.jpg","E_F_jennifer_aniston.jpg","P_F_tehresy_may.jpg",0.422
"E_F_jennifer_aniston.jpg P_F_hillary_clinton.jpg","E_F_jennifer_aniston.jpg","P_F_hillary_clinton.jpg",0.388
"E_F_jennifer_aniston.jpg P_M_Tony_Blair.jpg","E_F_jennifer_aniston.jpg","P_M_Tony_Blair.jpg",0.488
"E_F_jennifer_aniston.jpg E_M_nicolas_cage.jpg","E_F_jennifer_aniston.jpg","E_M_nicolas_cage.jpg",0.4126
"P_F_angela_rayner.jpg E_F_sandra_bullock.jpg","P_F_angela_rayner.jpg","E_F_sandra_bullock.jpg",0.457
"P_F_angela_rayner.jpg P_F_PRITI_PATEL.jpg","P_F_angela_rayner.jpg","P_F_PRITI_PATEL.jpg",0.3037
"P_F_angela_rayner.jpg P_M_david_cameron.jpg","P_F_angela_rayner.jpg","P_M_david_cameron.jpg",0.4453
"P_F_angela_rayner.jpg P_M_george_Wbush.jpg","P_F_angela_rayner.jpg","P_M_george_Wbush.jpg",0.5593
"P_F_angela_rayner.jpg E_M_Martin_Freeman.jpg","P_F_angela_rayner.jpg","E_M_Martin_Freeman.jpg",0.5276
"P_F_angela_rayner.jpg E_F_angelina_jolie.jpg","P_F_angela_rayner.jpg","E_F_angelina_jolie.jpg",0.4233
"P_F_angela_rayner.jpg E_M_anthony_hopkins.jpg","P_F_angela_rayner.jpg","E_M_anthony_hopkins.jpg",0.532
"P_F_angela_rayner.jpg P_F_nicola_sturgeon.jpg","P_F_angela_rayner.jpg","P_F_nicola_sturgeon.jpg",0.4756
"P_F_angela_rayner.jpg E_M_michael_caine.jpg","P_F_angela_rayner.jpg","E_M_michael_caine.jpg",0.5452
"P_F_angela_rayner.jpg E_M_robert_de_niro.jpg","P_F_angela_rayner.jpg","E_M_robert_de_niro.jpg",0.6228
"P_F_angela_rayner.jpg E_F_Kate_Winslet.jpg","P_F_angela_rayner.jpg","E_F_Kate_Winslet.jpg",0.419
"P_F_angela_rayner.jpg E_M_Hugh_Grant.jpg","P_F_angela_rayner.jpg","E_M_Hugh_Grant.jpg",0.482
"P_F_angela_rayner.jpg P_M_donald_trump.jpg","P_F_angela_rayner.jpg","P_M_donald_trump.jpg",0.5066
"P_F_angela_rayner.jpg E_M_liam_neeson.jpg","P_F_angela_rayner.jpg","E_M_liam_neeson.jpg",0.5737
"P_F_angela_rayner.jpg P_M_boris_johnson.jpg","P_F_angela_rayner.jpg","P_M_boris_johnson.jpg",0.4917
"P_F_angela_rayner.jpg E_M_tom_hankes.jpg","P_F_angela_rayner.jpg","E_M_tom_hankes.jpg",0.5308
"P_F_angela_rayner.jpg P_F_tehresy_may.jpg","P_F_angela_rayner.jpg","P_F_tehresy_may.jpg",0.484
"P_F_angela_rayner.jpg P_F_hillary_clinton.jpg","P_F_angela_rayner.jpg","P_F_hillary_clinton.jpg",0.468
"P_F_angela_rayner.jpg P_M_Tony_Blair.jpg","P_F_angela_rayner.jpg","P_M_Tony_Blair.jpg",0.536
"P_F_angela_rayner.jpg E_M_nicolas_cage.jpg","P_F_angela_rayner.jpg","E_M_nicolas_cage.jpg",0.5627
"E_F_sandra_bullock.jpg P_F_PRITI_PATEL.jpg","E_F_sandra_bullock.jpg","P_F_PRITI_PATEL.jpg",0.4624
"E_F_sandra_bullock.jpg P_M_david_cameron.jpg","E_F_sandra_bullock.jpg","P_M_david_cameron.jpg",0.5205
"E_F_sandra_bullock.jpg P_M_george_Wbush.jpg","E_F_sandra_bullock.jpg","P_M_george_Wbush.jpg",0.4834
"E_F_sandra_bullock.jpg E_M_Martin_Freeman.jpg","E_F_sandra_bullock.jpg","E_M_Martin_Freeman.jpg",0.418
"E_F_sandra_bullock.jpg E_F_angelina_jolie.jpg","E_F_sandra_bullock.jpg","E_F_angelina_jolie.jpg",0.2437
"E_F_sandra_bullock.jpg E_M_anthony_hopkins.jpg","E_F_sandra_bullock.jpg","E_M_anthony_hopkins.jpg",0.489
"E_F_sandra_bullock.jpg P_F_nicola_sturgeon.jpg","E_F_sandra_bullock.jpg","P_F_nicola_sturgeon.jpg",0.5173
"E_F_sandra_bullock.jpg E_M_michael_caine.jpg","E_F_sandra_bullock.jpg","E_M_michael_caine.jpg",0.5452
"E_F_sandra_bullock.jpg E_M_robert_de_niro.jpg","E_F_sandra_bullock.jpg","E_M_robert_de_niro.jpg",0.4917
"E_F_sandra_bullock.jpg E_F_Kate_Winslet.jpg","E_F_sandra_bullock.jpg","E_F_Kate_Winslet.jpg",0.2676
"E_F_sandra_bullock.jpg E_M_Hugh_Grant.jpg","E_F_sandra_bullock.jpg","E_M_Hugh_Grant.jpg",0.488
"E_F_sandra_bullock.jpg P_M_donald_trump.jpg","E_F_sandra_bullock.jpg","P_M_donald_trump.jpg",0.4756
"E_F_sandra_bullock.jpg E_M_liam_neeson.jpg","E_F_sandra_bullock.jpg","E_M_liam_neeson.jpg",0.407
"E_F_sandra_bullock.jpg P_M_boris_johnson.jpg","E_F_sandra_bullock.jpg","P_M_boris_johnson.jpg",0.5103
"E_F_sandra_bullock.jpg E_M_tom_hankes.jpg","E_F_sandra_bullock.jpg","E_M_tom_hankes.jpg",0.3564
"E_F_sandra_bullock.jpg P_F_tehresy_may.jpg","E_F_sandra_bullock.jpg","P_F_tehresy_may.jpg",0.5115
"E_F_sandra_bullock.jpg P_F_hillary_clinton.jpg","E_F_sandra_bullock.jpg","P_F_hillary_clinton.jpg",0.431
"E_F_sandra_bullock.jpg P_M_Tony_Blair.jpg","E_F_sandra_bullock.jpg","P_M_Tony_Blair.jpg",0.5571
"E_F_sandra_bullock.jpg E_M_nicolas_cage.jpg","E_F_sandra_bullock.jpg","E_M_nicolas_cage.jpg",0.445
"P_F_PRITI_PATEL.jpg P_M_david_cameron.jpg","P_F_PRITI_PATEL.jpg","P_M_david_cameron.jpg",0.459
"P_F_PRITI_PATEL.jpg P_M_george_Wbush.jpg","P_F_PRITI_PATEL.jpg","P_M_george_Wbush.jpg",0.5403
"P_F_PRITI_PATEL.jpg E_M_Martin_Freeman.jpg","P_F_PRITI_PATEL.jpg","E_M_Martin_Freeman.jpg",0.556
"P_F_PRITI_PATEL.jpg E_F_angelina_jolie.jpg","P_F_PRITI_PATEL.jpg","E_F_angelina_jolie.jpg",0.3945
