RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
5031,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1949,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2215,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3801,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2334,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2771,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3528,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3115,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2525,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2730,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2415,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3310,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1590,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2369,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2718,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2239,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2136,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1865,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3102,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1647,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
25044,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
5550,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3463,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2687,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3325,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2856,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2018,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
