RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2375,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2843,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1418,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2342,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1635,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1808,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1865,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1729,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2932,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2571,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1965,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1500,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
4149,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1375,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1756,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1560,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1368,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1649,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2333,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1460,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1362,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1768,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
2539,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1459,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
1709,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed539ff129cb40aacbbce90,"07/12/2022, 08:35:29"
