RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2581,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2688,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3601,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2909,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
4009,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3170,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2653,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
3507,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2247,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
2108,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef0ca308c145113d9353b22,"07/12/2022, 13:49:37"
