RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2933,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3269,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3316,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
4105,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2523,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2614,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
5089,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2434,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
1876,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3852,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2624,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
8166,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2084,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3049,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
5889,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2076,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2302,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
1839,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
1810,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
5873,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2072,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
4050,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
1655,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3482,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3619,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2701,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3974,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
5590,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3700,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2123,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2664,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2851,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
6819,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3851,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2303,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
2205,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
3172,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d1d8aaf32ab4a00013fadb7,"07/12/2022, 11:45:12"
