RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2657,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2577,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3079,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3441,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4790,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2815,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3033,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3732,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2166,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2402,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4738,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2823,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3006,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2624,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2747,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2234,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
2655,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3420,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3467,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
3331,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
4461,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6166eb40f3fdb397f7333849,"07/12/2022, 09:50:52"
