RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3218,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
19477,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
60168,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2280,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1900,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2706,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2513,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
69615,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1858,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3068,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4346,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3102,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
89347,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2227,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
11279,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2339,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1552,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5237,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2033,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2436,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2958,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4744,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
5631,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4345,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3713,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
66051,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2807,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2143,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2555,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2269,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3577,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1812,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3725,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
8684,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
6730,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
1989,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
3440,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
19066,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
4669,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
34232,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2419,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
2311,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c755dae2dc85100015025b2,"07/12/2022, 11:26:57"
