RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2281,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1993,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1457,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3912,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1757,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3734,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4091,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2578,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1725,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1843,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2541,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1227,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1787,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2420,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1440,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3410,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3167,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2935,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2234,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1963,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2137,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2165,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3149,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2220,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2031,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1783,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2991,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
5181,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3503,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3364,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3851,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3098,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1623,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2334,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1733,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2101,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3453,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1733,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1924,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1835,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2277,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4921,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1397,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2419,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1773,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2419,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2142,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1932,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2543,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2440,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2805,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1851,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4156,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2138,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2053,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2180,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2138,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1841,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2781,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1728,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1639,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2530,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1715,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3689,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1975,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1608,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2316,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3147,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1838,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2272,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3314,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1757,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2102,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4221,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2142,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2390,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2030,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2671,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2656,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1691,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1446,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1858,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
2617,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1862,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
4399,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
1739,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3352,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
3067,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb867b2efe4a55abcf54f1f,"07/12/2022, 15:42:12"
