RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2286,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1555,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1790,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1627,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1908,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1753,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3103,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2164,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4213,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2057,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1902,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1632,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1433,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1818,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2219,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1847,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2336,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
10702,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5281,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
1810,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3958,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2637,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2209,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
3386,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
2306,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
4369,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
5343,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f7c76b620f76309d2a330e1,"07/12/2022, 10:08:20"
