RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3025,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3789,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1989,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2296,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4483,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2855,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2776,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5524,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3373,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1447,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1513,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1718,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1832,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
5214,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2216,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4746,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2805,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2875,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2445,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2327,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2458,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1751,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1844,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1327,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1443,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2219,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1897,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1980,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
7508,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2567,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1953,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1466,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
3124,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
1703,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4245,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
2032,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
6254,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
4062,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
154947,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
9897,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61327d64b2aa927d577068da,"07/10/2022, 11:49:49"
