RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
4783,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3535,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
4746,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2016,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2039,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1884,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3075,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2307,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3900,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1631,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1959,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
5363,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2030,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1775,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2297,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1825,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2782,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2599,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
4311,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
5879,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3798,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2322,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2103,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2127,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1990,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3697,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
