RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2408,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2440,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3651,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3774,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2600,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2284,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2570,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
5133,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
6999,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2993,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
15315,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3143,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
10069,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3110,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3658,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2416,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2698,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
4002,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3023,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2668,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
5545,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
3593,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
2113,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6068a8973da6db3710d57b12,"07/12/2022, 10:13:07"
