RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3046,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
4133,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2383,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2256,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1727,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2103,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3049,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1969,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2776,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2656,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2982,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2524,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3172,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
8377,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3431,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
4725,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
6379,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3636,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2146,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1914,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1679,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1999,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3369,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1786,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
5906,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1756,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3136,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3381,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2979,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
6076,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3401,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2641,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3408,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2288,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2006,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
9879,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3153,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3592,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3851,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1911,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3686,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1832,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3246,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
