RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_F_Jennifer_Saunders.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_M_Simon_Pegg.png,1,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_M_Jimmy_Carr.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_Sajid_Javid.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_Gordon_Brown.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_M_Michael_McIntyr.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_jeremy_corbyn.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_M_Peter_Kay.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_F_nicola_sturge.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_F_Dawn_Roma_French.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_Michael_Gove.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_F_Theresa_May.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_M_Russell_Howard.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_david_camer.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
E_F_Sarah_Millican.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
P_M_keir_starmer.png,0,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
age: 28,gender: Female,handedness: left,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
