RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4511,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4412,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3363,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5332,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3582,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3231,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3602,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3775,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3840,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4679,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4712,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4083,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3330,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2763,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
2254,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4881,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3936,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
5081,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
11841,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3741,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3662,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
4018,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
3799,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb7f2531f7e24425ac7c8c3,"06/30/2022, 09:26:04"
