RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1925,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1481,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
5029,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2087,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2361,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
5479,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4584,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2140,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1699,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2036,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3099,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2108,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2177,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1700,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2446,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1879,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2027,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3577,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2177,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1866,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2033,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3701,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3618,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3385,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1771,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3253,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2324,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2071,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3475,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2006,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
8912,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2864,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2786,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4234,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2972,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1767,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2574,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2631,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2794,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2244,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2522,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3400,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3598,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2462,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1743,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2314,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1908,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3180,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
8434,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4260,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2486,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2564,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2273,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1902,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2352,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3220,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2134,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2840,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3336,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1854,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2816,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2330,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3556,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3440,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2298,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
8054,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2479,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3560,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1961,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1984,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2149,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1906,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1864,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2000,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4129,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2695,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1971,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
9942,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2748,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2079,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2612,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1587,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2140,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1921,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3149,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2275,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2112,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3615,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2313,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1844,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1907,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2225,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2261,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2256,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1953,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2787,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1928,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2014,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1549,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1341,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2709,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4987,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1768,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3719,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
6180,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4250,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1875,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2786,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3270,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3851,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
1873,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2361,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
4204,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2621,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3091,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2337,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3332,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
3444,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
2203,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eda4814fe5ec9080156e700,"06/30/2022, 09:42:18"
