RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4412,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4412,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4045,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
9204,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3217,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5433,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2938,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4624,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5509,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
7825,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3015,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
6898,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3674,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3892,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3231,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4422,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4869,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3850,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3455,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3648,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3176,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2953,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4878,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5305,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2968,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2840,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2458,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2724,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2544,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3820,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3066,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4846,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5110,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3945,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3468,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3440,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3389,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3188,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3227,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3102,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3642,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2396,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2287,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2464,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2274,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
6288,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4355,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4930,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2380,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3752,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2086,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3387,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2217,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3704,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2932,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
6397,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2845,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2077,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4645,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2420,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2420,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3440,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2201,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3881,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5575,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5053,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2750,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3242,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3433,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5089,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4150,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
7336,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3748,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4389,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5196,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3409,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4093,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4818,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4568,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3248,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2989,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3969,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2570,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3111,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3007,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
5347,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3417,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4849,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3984,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2915,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3385,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3487,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2309,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
6626,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3419,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3239,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3344,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2401,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2341,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2790,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2137,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4342,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2299,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3044,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2319,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3167,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2109,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2246,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3052,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2042,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2814,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
2866,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
4122,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
3328,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60ddcc052137212419247c3c,"06/30/2022, 11:51:46"
