RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
974,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1454,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1350,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1126,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1230,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1351,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1295,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1111,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1103,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1158,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
911,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
959,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
8580,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1238,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1087,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1495,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
879,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
1070,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
991,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d71640e8a1bff0001d88e70,"06/30/2022, 07:20:24"
