RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3987,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3230,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3064,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6232,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6257,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4246,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7871,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4453,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3761,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2535,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3443,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5632,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5585,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2669,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2308,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2478,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2273,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2606,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2997,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6257,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3100,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2143,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2220,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5177,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4319,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4311,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2647,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3055,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2221,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3515,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1948,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
10979,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5674,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3457,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7817,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2737,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2372,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6924,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5213,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3413,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3481,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6000,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2844,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
8411,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2212,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2130,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
12071,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4078,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2319,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3241,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3381,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3780,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7103,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2530,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2668,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5556,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2374,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
8451,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2802,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
10321,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5145,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2907,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
6195,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5557,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3084,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7234,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2130,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3990,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2756,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2432,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2251,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2158,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5461,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2300,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2218,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3586,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2563,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2133,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1792,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2362,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7984,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1906,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2084,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1876,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4727,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1835,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1772,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3047,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3734,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3127,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4215,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2705,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3550,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1862,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3602,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3246,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2966,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3636,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2151,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2042,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1876,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4479,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2407,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3745,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
3144,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2128,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4615,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2124,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
9031,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2201,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2316,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2439,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2646,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
10313,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2228,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5573,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2011,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1633,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2717,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
5288,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2925,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
2445,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
1814,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
7441,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4204,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4251,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
4533,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60d0a967955501a6a76b2bb7,"06/30/2022, 09:25:48"
