RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3435,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1906,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1579,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2577,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
10372,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
19828,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
7515,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1815,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
8230,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2335,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
954,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2987,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1228,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1750,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1993,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
7718,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1803,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3709,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
5520,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
8592,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
9310,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2086,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1702,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1934,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3270,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
21148,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
6807,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
32374,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
22124,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1480,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2794,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2263,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2279,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2139,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2235,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
6276,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1976,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
29006,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
5586,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1821,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2297,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3263,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2711,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2490,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3271,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1878,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2508,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1405,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1892,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
7020,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3105,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2583,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3044,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2392,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1382,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1565,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1356,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1903,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
13621,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1751,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2567,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2947,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2050,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2221,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2198,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3567,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1393,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
4558,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
3027,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
1588,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2411,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
4808,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
2494,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,604fa685e33606f9a0ee8189,"06/30/2022, 13:21:52"
