RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2153,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2158,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2723,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3730,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2473,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4063,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3468,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2390,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
4317,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2826,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3289,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2638,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3631,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
1840,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2852,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2709,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2425,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2322,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
5620,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2434,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3525,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2485,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3935,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
1870,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
2907,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
3908,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a286090ed91d5c3fca9db6,"06/30/2022, 09:33:53"
