RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
732,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
943,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2188,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1064,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
782,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
751,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
906,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
920,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
754,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2172,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1819,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
3077,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
5545,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1633,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1376,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1185,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
965,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
803,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1177,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1175,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
682,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1407,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
5599,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1406,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2121,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2175,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
865,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1821,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2603,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2175,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1865,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
1043,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
923,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2622,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
2239,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
874,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6140620d3e937d82f30ce289,"06/30/2022, 11:43:38"
