RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3083,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2054,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3330,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
4557,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3109,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3855,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
5821,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1402,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2344,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2476,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2645,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3053,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1621,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2012,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2570,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2972,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3044,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2403,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2189,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1841,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1304,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2918,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2614,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2092,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1198,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2892,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3018,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1605,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1703,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
5356,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3027,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2452,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3006,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2298,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3832,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1310,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1586,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3706,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1862,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2623,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1911,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1311,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2542,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2627,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2054,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1475,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2093,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2239,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2223,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2157,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2081,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3022,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2446,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1996,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2362,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2017,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2404,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2981,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2262,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2833,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1498,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2342,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1318,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3548,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1603,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1416,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1634,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1947,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
1693,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
3053,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2100,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2075,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
2899,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
file,isFamiliar,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_F_Dawn_Roma_French.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
E_M_Simon_Pegg.png,1,5f262b3018c68e27aebdd170,"06/30/2022, 09:21:48"
