RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3677,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2616,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2123,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2253,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1772,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
4044,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1766,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2289,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
19499,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3320,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3417,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1738,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1656,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1854,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1835,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1669,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1837,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
3037,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2292,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2428,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2254,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2155,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1760,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1722,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1981,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1372,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1089,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1149,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2200,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1395,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1408,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1193,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1537,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1338,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1290,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1413,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1489,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1951,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1154,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1252,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1656,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1180,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1026,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1142,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1881,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1540,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1311,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1143,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2160,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2120,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1817,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1537,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2065,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1369,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1897,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1601,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1373,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1306,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1292,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1491,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2123,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1745,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1529,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1510,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1722,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2058,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
5825,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1674,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1724,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1647,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1759,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1867,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2075,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1411,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1613,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1699,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1803,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1213,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
973,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1091,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
2387,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1459,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1515,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1315,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1291,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1104,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1569,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1107,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1120,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1014,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1241,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1340,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1759,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1541,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1434,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1832,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1563,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1383,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1666,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1434,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1431,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1458,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1558,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
1675,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0c9b95817dc145532fcee,"06/30/2022, 12:02:04"
