RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3312,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
5615,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
6033,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3851,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4244,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
5274,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2932,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4501,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3961,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4133,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4561,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
6868,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3656,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2957,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2700,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4711,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3545,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4970,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3227,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3693,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3301,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3119,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4796,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
34671,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2873,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4659,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3789,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
