RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_F_nicola_sturge.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_Sajid_Javid.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_M_Jimmy_Carr.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_jeremy_corbyn.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_M_Michael_McIntyr.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_M_Peter_Kay.png,0,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_Michael_Gove.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_F_Julie_Walters.png,0,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_keir_starmer.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_david_camer.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_F_Jennifer_Saunders.png,0,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_Gordon_Brown.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_F_Sarah_Millican.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_M_Simon_Pegg.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_F_Dawn_Roma_French.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_nigel_farage.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_M_Tony_Blair.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
P_F_Theresa_May.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_M_Ewan_McGregor.png,0,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
E_M_Russell_Howard.png,1,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
age: 29,gender: Male,handedness: right,600b3f24668a930a525a0b47,"06/30/2022, 12:26:35"
