RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4619,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3067,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
1850,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4106,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
52153,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2806,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6009,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2999,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5376,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2636,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4443,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2436,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3231,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
22015,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2884,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2373,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3253,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5489,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4313,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3346,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
4639,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2493,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
6132,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
1939,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2625,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
5790,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
2164,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
3885,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b970e418ba08e882a25802,"06/30/2022, 09:29:37"
