RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3134,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2557,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2755,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2909,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2217,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2091,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3009,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3814,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2175,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2469,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2094,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2001,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2045,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2538,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2285,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1772,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2348,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3030,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2447,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3185,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2504,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2162,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2160,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4408,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2020,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2097,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4222,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2629,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2864,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3546,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3150,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2372,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2530,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2701,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2187,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3497,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
5112,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1818,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2365,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2193,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2763,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
5467,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3738,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2890,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2562,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2685,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2505,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2776,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3564,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1629,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2311,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1926,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3202,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2352,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1833,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2449,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2284,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1883,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2927,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3400,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2796,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2381,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3075,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2087,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1917,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2309,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2121,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2736,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2358,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3157,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1883,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2175,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3243,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1939,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2408,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1793,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2373,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2451,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1965,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1750,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1981,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2836,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2409,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2352,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3398,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2729,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3169,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3580,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3752,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4261,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2252,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2359,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2251,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2964,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1906,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4145,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1948,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2745,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2168,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2209,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2934,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3387,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3998,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2998,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2742,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3095,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2545,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2136,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2554,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3233,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2995,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2886,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
1787,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2420,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2915,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2053,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4115,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2914,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3587,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2619,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2775,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4267,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2513,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
4579,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
3178,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2052,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
2020,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9375259c9687000b26ec11,"06/30/2022, 09:44:46"
