RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3117,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3949,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2197,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3989,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3650,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4042,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2507,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
7530,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2251,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
9253,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
4211,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2315,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1793,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2855,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2395,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5110,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2967,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2093,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1847,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1919,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2674,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3363,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2196,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2260,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2018,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2269,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2141,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2340,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1999,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1577,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3046,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2309,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3277,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2737,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
16634,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1976,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3658,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2000,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2704,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5626,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3784,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2198,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3252,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2476,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3171,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1896,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
6131,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5397,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2792,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3308,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3808,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3689,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2229,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3014,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
5586,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
1893,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2736,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2761,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2974,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2030,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2700,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2982,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2411,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3536,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
3229,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
2522,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
7363,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
9522,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b05f634c3eb9d685c6dfab,"06/30/2022, 11:48:04"
