RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
8316,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5345,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6102,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4257,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4672,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3708,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2554,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5408,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7375,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3930,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7048,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3772,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7218,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
9790,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5521,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4258,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4016,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4676,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4620,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7247,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7782,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3465,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3576,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5933,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
9839,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6472,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4835,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4795,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7620,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4706,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4397,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4157,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3019,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6670,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6806,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6427,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5771,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
10318,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7940,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4648,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5353,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3164,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6976,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5930,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4144,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4711,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4693,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4025,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4309,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
8315,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4811,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6180,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4332,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7655,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2799,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4493,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5278,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4208,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4165,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
8670,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4689,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3907,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5724,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4250,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4817,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4147,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6805,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3385,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4027,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5554,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3084,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4763,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4659,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4519,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4475,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3528,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5075,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2972,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2975,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4062,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3240,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4175,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4098,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4609,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2678,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6695,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5177,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4022,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5245,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5310,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6204,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
11164,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4683,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
7776,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
8816,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6395,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
12834,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4754,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4519,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2423,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2090,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3254,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2790,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
4138,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2275,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3953,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3407,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3028,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2362,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6362,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
3588,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2389,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
6570,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
5784,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2101,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
2661,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,578a060882f7f90001ee801e,"06/30/2022, 09:34:31"
