RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2359,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2367,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3062,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2239,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2070,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2271,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2044,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2179,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2079,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2133,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4067,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2271,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2787,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4142,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2468,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2150,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1882,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2238,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2106,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3700,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1796,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1958,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3624,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2752,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2540,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1749,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1904,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2133,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1913,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2056,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1957,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1782,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1898,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1950,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3307,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2329,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1786,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1956,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2804,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1897,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1920,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2172,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2414,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1966,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1782,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2710,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2312,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1841,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2464,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2183,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2824,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1615,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1803,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2202,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1762,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2512,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2952,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2219,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2172,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1944,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1888,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1910,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2316,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1894,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1952,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1838,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3364,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1723,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1741,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2030,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2469,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3057,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2832,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2387,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2043,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2447,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1793,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3013,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2091,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4846,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1902,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2092,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1757,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2002,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2506,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2057,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3040,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2814,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1905,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4030,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2119,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3624,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1708,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2145,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3367,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4282,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1738,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2089,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2322,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1880,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1743,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2769,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3469,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2208,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1800,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
4356,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2366,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2100,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2491,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1826,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2074,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1888,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2036,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1943,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2109,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1961,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1805,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2018,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2592,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1887,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1977,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2089,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
3054,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2102,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
2097,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1922,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
1826,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,628274610bc63ba394a1082c,"06/30/2022, 11:50:29"
