RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2742,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5815,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2268,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2303,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4107,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2041,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4107,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
1905,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2921,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2436,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6123,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4331,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2432,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
7295,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4808,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4523,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2375,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4967,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5746,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2539,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2389,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2079,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3378,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2780,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3209,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3235,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5206,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2209,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3762,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3461,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3041,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3640,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3541,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2381,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2450,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2045,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2523,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
7245,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
