RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4516,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2543,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3551,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6521,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6141,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2630,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4350,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2722,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2739,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4534,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4015,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3371,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5069,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2996,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3773,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3983,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2182,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3023,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3695,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5401,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3125,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3764,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3036,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3671,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6492,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6521,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3544,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6104,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
10288,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2302,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4616,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2739,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3396,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5468,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2700,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3315,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3415,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4793,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
2498,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3198,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7670,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4616,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3001,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5938,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3159,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3440,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6501,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4500,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
