RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
2860,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6383,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6673,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6789,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4157,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5758,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
245345,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
10649,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3610,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6017,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3870,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3528,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6977,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7224,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4810,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6472,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6600,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6820,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
9077,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4088,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
7518,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3975,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6190,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
6594,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
12322,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
3493,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4329,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
5008,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4568,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4586,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
17748,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
119700,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
2882,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4254,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
15613,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
4953,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60dc72e0ecbf8af03b214ced,"05/06/2022, 11:30:16"
