RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2479,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2458,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4463,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3511,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4086,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
6328,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4798,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5182,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5056,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5023,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2515,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5023,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1778,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1498,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2588,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
file,isFamiliar,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_F_tehresy_may.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_M_Tony_Blair.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_M_nicolas_cage.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_M_boris_johnson.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_M_michael_caine.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_F_sandra_bullock.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_F_Judi_Dench.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_M_donald_trump.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_F_hillary_clinton.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_M_bill_clinton.png,0,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_M_robert_de_niro.png,0,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_F_nicola_sturgeon.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_M_tom_hankes.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_F_keira_knightley.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_M_david_cameron.png,0,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_F_jennifer_aniston.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_F_angelina_jolie.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_F_Kate_Winslet.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
P_M_george_Wbush.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
E_M_Hugh_Grant.png,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
age: 28,gender: Female,handedness: right,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
