RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3620,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2744,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4536,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2931,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2719,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3971,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3037,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2479,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5179,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
5077,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
7371,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2645,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
3133,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
4489,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
2784,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f2c752e937b6c149d212fa6,"05/06/2022, 10:55:17"
