RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3014,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2799,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2764,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3730,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2887,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
6854,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2179,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2767,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3477,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2203,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
7672,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5165,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2759,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2742,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3450,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2029,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2284,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2828,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2179,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
1960,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2778,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5318,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2919,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2807,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3001,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2492,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3020,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4627,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2556,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4905,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
7260,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4694,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4443,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
