RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2731,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4008,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3991,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2846,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2495,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3219,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2704,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
7330,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3336,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3472,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2432,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3375,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
2843,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3723,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3408,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
